"filename", "language", "Dotenv", "JSON", "JavaScript", "HTML", "PostCSS", "Markdown", "JavaScript JSX", "SVG", "TypeScript", "comment", "blank", "total"
"d:\work2026\floor\src\components\ThemeToggleButton\ThemeToggleButton.module.css", "PostCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"d:\work2026\floor\src\components\WorkOrdersManager\WorkOrdersManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 246, 0, 0, 1, 25, 272
"d:\work2026\floor\src\components\WorkOrdersManager\WorkOrdersManager.module.css", "PostCSS", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 12, 79
"d:\work2026\floor\src\components\WorkTypesManager\WorkTypesManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 260, 0, 0, 3, 29, 292
"d:\work2026\floor\src\components\WorkTypesManager\WorkTypesManager.module.css", "PostCSS", 0, 0, 0, 0, 116, 0, 0, 0, 0, 5, 21, 142
"d:\work2026\floor\src\components\WorkerProfileModal\WorkerProfileModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 248, 0, 0, 11, 29, 288
"d:\work2026\floor\src\components\WorkerProfileModal\WorkerProfileModal.module.css", "PostCSS", 0, 0, 0, 0, 389, 0, 0, 0, 0, 8, 53, 450
"d:\work2026\floor\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 4, 16, 110
"d:\work2026\floor\src\contexts\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"d:\work2026\floor\src\hooks\useAddresses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"d:\work2026\floor\src\hooks\useAdminLists.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 7, 50
"d:\work2026\floor\src\hooks\useAnalytics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 3, 6, 80
"d:\work2026\floor\src\hooks\useCompanies.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 7, 32
"d:\work2026\floor\src\hooks\usePeople.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 3, 11, 49
"d:\work2026\floor\src\layouts\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 4, 6, 57
"d:\work2026\floor\src\layouts\AuthLayout.module.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\work2026\floor\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 3, 13
"d:\work2026\floor\src\services\invoiceService.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 23, 25, 167
"d:\work2026\floor\src\services\workTypeService.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 29, 27, 187
"d:\work2026\floor\src\styles\common.module.css", "PostCSS", 0, 0, 0, 0, 68, 0, 0, 0, 0, 3, 9, 80
"d:\work2026\floor\src\styles\variables.css", "PostCSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 6, 40
"d:\work2026\floor\src\supabaseClient.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\work2026\floor\src\utils\constants.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\work2026\floor\src\utils\validations.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 3, 17
"d:\work2026\floor\supabase\.temp\linked-project.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\work2026\floor\supabase\functions\scan-work-order\deno.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\work2026\floor\supabase\functions\scan-work-order\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 101, 1, 10, 112
"d:\work2026\floor\supabase\functions\send-whatsapp-notification\deno.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\work2026\floor\supabase\functions\send-whatsapp-notification\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 19, 94
"d:\work2026\floor\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\work2026\floor\vite.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 3, 5932, 165, 19, 6913, 5, 10259, 46, 176, 491, 2200, 26209
