Date : 2026-08-23 08:27:08
Directory : d:\work2026\floor
Total : 144 files,  23518 codes, 491 comments, 2200 blanks, all 26209 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\work2026\floor\src\services\invoiceService.jsx                                      | JavaScript JSX |        119 |         23 |         25 |        167 |
| d:\work2026\floor\src\services\workTypeService.jsx                                     | JavaScript JSX |        131 |         29 |         27 |        187 |
| d:\work2026\floor\src\styles\common.module.css                                         | PostCSS        |         68 |          3 |          9 |         80 |
| d:\work2026\floor\src\styles\variables.css                                             | PostCSS        |         29 |          5 |          6 |         40 |
| d:\work2026\floor\src\supabaseClient.js                                                | JavaScript     |          9 |          0 |          4 |         13 |
| d:\work2026\floor\src\utils\constants.js                                               | JavaScript     |         14 |          0 |          3 |         17 |
| d:\work2026\floor\src\utils\validations.js                                             | JavaScript     |         12 |          2 |          3 |         17 |
| d:\work2026\floor\supabase\.temp\linked-project.json                                   | JSON           |          1 |          0 |          0 |          1 |
| d:\work2026\floor\supabase\functions\scan-work-order\deno.json                         | JSON           |          6 |          0 |          1 |          7 |
| d:\work2026\floor\supabase\functions\scan-work-order\index.ts                          | TypeScript     |        101 |          1 |         10 |        112 |
| d:\work2026\floor\supabase\functions\send-whatsapp-notification\deno.json              | JSON           |          3 |          0 |          1 |          4 |
| d:\work2026\floor\supabase\functions\send-whatsapp-notification\index.ts               | TypeScript     |         75 |          0 |         19 |         94 |
| d:\work2026\floor\vercel.json                                                          | JSON           |          3 |          0 |          1 |          4 |
| d:\work2026\floor\vite.config.js                                                       | JavaScript     |          8 |          1 |          2 |         11 |
| Total                                                                                  |                |     23,518 |        491 |      2,200 |     26,209 |
+----------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
